cell_id,city,exposure_million_miles,claims,hdv_freq_per_million_miles_true
San_Francisco_000000,San Francisco,0.8774536872215528,5,4.485272112687732
San_Francisco_000001,San Francisco,1.183088537596584,1,3.8530219946838247
San_Francisco_000002,San Francisco,2.1531059571198776,10,3.5515332682861955
San_Francisco_000003,San Francisco,3.725478811773817,14,4.019350140552395
San_Francisco_000004,San Francisco,1.1171058192389376,3,3.3678654859703663
San_Francisco_000005,San Francisco,0.722500584905637,2,4.037115752963346
San_Francisco_000006,San Francisco,0.9414455075919679,7,5.469245331408893
San_Francisco_000007,San Francisco,2.4928526110560933,8,4.386014354406527
San_Francisco_000008,San Francisco,1.398652110653336,9,3.8557046241579602
San_Francisco_000009,San Francisco,1.13342096101547,5,3.409288557641504
San_Francisco_000010,San Francisco,1.0588199635145656,8,5.0556813764044355
San_Francisco_000011,San Francisco,1.0778583538490978,5,4.826269647381412
San_Francisco_000012,San Francisco,1.4599828388671847,10,4.495660199353095
San_Francisco_000013,San Francisco,2.440427776340531,11,4.958446829111576
San_Francisco_000014,San Francisco,1.3105969802940014,3,4.481924944343111
San_Francisco_000015,San Francisco,1.074807572802693,3,3.8029918320711356
San_Francisco_000016,San Francisco,0.920519589923779,3,4.902935702780918
San_Francisco_000017,San Francisco,0.6985251578365922,5,5.63420936732052
San_Francisco_000018,San Francisco,1.6670691974439196,7,3.6357890671205335
San_Francisco_000019,San Francisco,1.334324015271626,6,2.542659599580565
San_Francisco_000020,San Francisco,2.1625080839132043,8,4.253444672481303
San_Francisco_000021,San Francisco,1.3255685115393623,7,4.071696164612636
San_Francisco_000022,San Francisco,1.2528870662871687,11,4.481151649466183
San_Francisco_000023,San Francisco,1.4200819145272319,6,3.8884789292890107
San_Francisco_000024,San Francisco,1.370879318940918,9,5.272430935153612
San_Francisco_000025,San Francisco,2.0571250477387406,6,4.1739885989269725
San_Francisco_000026,San Francisco,1.2983514263705667,9,3.513407013122561
San_Francisco_000027,San Francisco,1.4376463915409192,5,3.9942459810584285
San_Francisco_000028,San Francisco,2.5530811469157877,7,4.48629080024008
San_Francisco_000029,San Francisco,4.514470744729249,17,3.5817779100817675
San_Francisco_000030,San Francisco,1.2228440570166683,10,4.372796740482849
San_Francisco_000031,San Francisco,1.341369017811267,4,4.317348334781024
San_Francisco_000032,San Francisco,1.578585004254028,12,4.106022513805968
San_Francisco_000033,San Francisco,0.9252310934729806,2,4.355049994208626
San_Francisco_000034,San Francisco,1.8072374679940513,5,4.261888434765106
San_Francisco_000035,San Francisco,1.4269392328349602,13,4.470714794812732
San_Francisco_000036,San Francisco,1.9065392907521919,16,3.788507610971996
San_Francisco_000037,San Francisco,1.1035851412798618,4,3.6911622808498974
San_Francisco_000038,San Francisco,1.3464530139507582,6,4.202474633861432
San_Francisco_000039,San Francisco,0.7631329349053422,3,3.623121843126098
San_Francisco_000040,San Francisco,2.108040830452879,11,3.4337177194496404
San_Francisco_000041,San Francisco,0.9779615721551113,3,4.330436742528489
San_Francisco_000042,San Francisco,2.2060319434371483,12,4.580967038341931
San_Francisco_000043,San Francisco,1.8367994853937721,7,3.701568619561147
San_Francisco_000044,San Francisco,2.325773276050271,11,3.6255734946619897
San_Francisco_000045,San Francisco,2.257857825572906,7,4.100248588694396
San_Francisco_000046,San Francisco,2.168024233427489,7,4.3849105581681345
San_Francisco_000047,San Francisco,1.3705184199510225,6,3.996160841204727
San_Francisco_000048,San Francisco,2.5983853950442657,4,3.78112766443065
San_Francisco_000049,San Francisco,1.1151314719916687,3,4.346511509371971
San_Francisco_000050,San Francisco,1.6155700927800607,4,3.0287047899215462
San_Francisco_000051,San Francisco,1.8132333953895952,7,3.9893058460501134
San_Francisco_000052,San Francisco,0.8689035419320484,2,4.220232267582826
San_Francisco_000053,San Francisco,1.325521372231509,4,3.9166657591511522
San_Francisco_000054,San Francisco,1.0941391924649708,5,4.5288548980485235
San_Francisco_000055,San Francisco,0.8765062809223457,4,4.159052908888709
San_Francisco_000056,San Francisco,1.6347029037903935,6,4.396691524534835
San_Francisco_000057,San Francisco,2.488703763564462,9,3.5277546806844353
San_Francisco_000058,San Francisco,0.7558822929926166,2,3.275349862563415
San_Francisco_000059,San Francisco,2.1185727061656605,3,3.2420634208830506
San_Francisco_000060,San Francisco,0.8506813692688653,3,5.283434598462542
San_Francisco_000061,San Francisco,1.2712943147485634,5,4.387622678815378
San_Francisco_000062,San Francisco,1.179934557926063,7,4.474262421179027
San_Francisco_000063,San Francisco,2.757057156069551,11,3.6691736772918917
San_Francisco_000064,San Francisco,2.10493095185036,9,4.7742884904999885
San_Francisco_000065,San Francisco,0.5862403689003272,1,3.769167007001179
San_Francisco_000066,San Francisco,1.6109593294324636,5,4.106532278022341
San_Francisco_000067,San Francisco,2.3859284885058423,9,3.635799649841093
San_Francisco_000068,San Francisco,1.1629518064438256,4,4.419416846075038
San_Francisco_000069,San Francisco,0.9497245166770485,2,4.449770193378001
San_Francisco_000070,San Francisco,1.4737179751333924,1,4.339767800548112
San_Francisco_000071,San Francisco,0.8303314273730078,2,3.459557999470943
San_Francisco_000072,San Francisco,1.4189534185948265,1,3.9479621726955685
San_Francisco_000073,San Francisco,2.0000255562457045,4,3.096985868320221
San_Francisco_000074,San Francisco,2.6903708977865257,14,4.286557744087221
San_Francisco_000075,San Francisco,2.984000894419698,8,3.508292986232939
San_Francisco_000076,San Francisco,0.7792856223528235,3,3.9606269199499247
San_Francisco_000077,San Francisco,1.0471316898191352,6,4.333288262565512
San_Francisco_000078,San Francisco,1.638553281544034,8,4.673257721268752
San_Francisco_000079,San Francisco,0.6799896303857039,6,4.18846710602658
San_Francisco_000080,San Francisco,2.342824618755233,12,4.785137879954937
San_Francisco_000081,San Francisco,0.9972404509890846,5,5.0531840867751185
San_Francisco_000082,San Francisco,1.2469607595876524,0,4.488378244364965
San_Francisco_000083,San Francisco,2.3565796848732985,9,4.075210749342441
San_Francisco_000084,San Francisco,0.9276831326073125,5,3.125251688460158
San_Francisco_000085,San Francisco,1.2148530879643284,5,4.2558608048543904
San_Francisco_000086,San Francisco,1.0242915507832207,2,3.3628464316178714
San_Francisco_000087,San Francisco,0.8783628851520071,3,5.5331737969722345
San_Francisco_000088,San Francisco,2.563269931974965,11,4.107013859796382
San_Francisco_000089,San Francisco,0.7325498892937612,5,3.516403047483641
San_Francisco_000090,San Francisco,1.5153973215334626,9,4.773340791373528
San_Francisco_000091,San Francisco,0.7095205624299926,1,3.505959888235239
San_Francisco_000092,San Francisco,0.7458272462173923,5,4.789545886902481
San_Francisco_000093,San Francisco,1.2400285571689778,3,3.367235574716885
San_Francisco_000094,San Francisco,2.6696315312315755,15,3.34214042767222
San_Francisco_000095,San Francisco,1.205529288871403,9,3.9556130717947244
San_Francisco_000096,San Francisco,2.5580528065885177,10,4.443916865280659
San_Francisco_000097,San Francisco,1.2142974746565631,9,4.554969324572473
San_Francisco_000098,San Francisco,2.4793261840272844,14,4.961667691557351
San_Francisco_000099,San Francisco,0.9900510738656993,6,4.634582128096423
