cell_id,city,road_length_arterial_km,road_length_collector_km,road_length_local_km,intersection_density_per_km2,signalized_intersection_fraction,betweenness_centrality_mean,population_density_per_km2,pedestrian_commute_share,land_use_residential_share,land_use_commercial_share,historical_crash_density_per_mile,hdv_claim_freq_per_million_miles
884898c901fffff,Austin,0.0,0.0,2.93596926216763,16.625006839234718,0.0,2.9375878323832924e-05,270.78476397494757,0.0,0.5891247455655715,0.20543762721721426,0.0,0.248
884898c903fffff,Austin,0.0,1.2395446948762505,6.119615035464867,87.8746791673074,0.0,0.0001059142388285949,1117.4364423761433,0.008461473969920015,0.5781573775658477,0.20823960513945836,0.0,0.248
884898c905fffff,Austin,0.0,0.0,1.6916208971915156,14.251130804159859,0.0,0.0006080755063973501,270.7857651549082,0.0,0.5891247455655714,0.2054376272172143,0.0,0.248
884898c907fffff,Austin,1.7239596143505145,0.0,7.6558540787442935,102.13268547590401,0.046511627906976744,0.0016027850698404243,279.7793724484118,0.0014737896528719838,0.5846126398169438,0.2076936800915281,0.0,0.248
884898c909fffff,Austin,0.0,1.2332065889433625,3.2021032933351496,22.5608223032204,0.0,8.565226407597192e-05,274.9513995598075,0.002986306087613368,0.5869995033906757,0.20650024830466213,0.0,0.248
884898c90bfffff,Austin,0.0,0.8278033167483272,0.9141250880688094,4.749627330950048,0.0,9.185571234121635e-05,1117.4364423761433,0.008461473969920015,0.5781573775658477,0.20823960513945836,0.0,0.248
884898c90dfffff,Austin,0.0,0.0,0.8637137033132136,4.7500215981483525,0.0,1.3346155438432612e-05,270.76390859835124,0.0,0.5891247455655714,0.2054376272172143,0.0,0.248
884898c915fffff,Austin,0.0,0.0,0.2525416658179309,0.0,0.0,9.757163055997132e-06,1117.4364423761433,0.008461473969920015,0.5781573775658477,0.20823960513945836,0.0,0.248
884898c921fffff,Austin,0.6364536635939342,0.0,0.27646167477128825,2.3755540746503176,0.0,9.256084669042167e-06,332.6431465508894,0.007138442062508834,0.5663394470107543,0.21683027649462283,0.0,0.248
884898c923fffff,Austin,0.0,0.0,9.02567557981449,79.5807353494148,0.0,3.982655246600174e-05,333.0040568420674,0.007163644504141482,0.5662546708824374,0.2168726645587813,0.0,0.248
884898c925fffff,Austin,0.0,0.0,0.4044307114469697,3.563613021266539,0.0,1.5951975706221608e-05,332.97961597796484,0.007163644504141482,0.5662546708824374,0.2168726645587813,0.0,0.248
884898c929fffff,Austin,0.31572631418683705,0.0,2.189388928430666,22.566073296508208,0.0,0.0006319304228403794,272.009885656387,0.00021418988029742034,0.5884748899381547,0.20576255503092267,0.0,0.248
884898c92bfffff,Austin,1.0324695910798452,0.0,4.685881521019479,55.821108377326006,0.0851063829787234,0.0013960419747848108,294.97384001596873,0.0035392657686439573,0.5781252623129763,0.21093736884351183,0.0,0.248
884898c92dfffff,Austin,1.012340801226227,0.0,1.2254746797521217,22.56785785161662,0.05263157894736842,0.004121607366788659,306.1006892036243,0.004791202680631815,0.5740967564523739,0.21295162177381305,0.0,0.248
884898c931fffff,Austin,0.0,0.371285985916359,2.7359916724005053,19.00277752343313,0.0,3.0870379343446806e-05,410.4773567076608,0.02658326817826427,0.2357049323439546,0.3821475338280227,0.0,0.248
884898c933fffff,Austin,1.0727123264012899,0.0,10.06920799132678,117.57922552891351,0.020202020202020204,2.438222149345775e-06,330.56563654641565,0.02431842310479421,0.26372210818156894,0.36813894590921553,0.0,0.248
884898c937fffff,Austin,0.0,0.0,0.7289636014549302,14.253152331984639,0.0,5.61222199093065e-07,410.5105275668633,0.026583268178264268,0.23570493234395462,0.3821475338280227,0.0,0.248
884898c939fffff,Austin,2.065609483301786,2.5950868278403485,10.844143947059335,174.5749340310068,0.027210884353741496,0.00029678088452628177,394.0174163793743,0.02974920399963564,0.30426870509865167,0.34786564745067416,0.10379626433373161,5.18881523968255
884898c93bfffff,Austin,0.1714202492960846,0.7618423305619789,2.5347680381056006,29.68949728556503,0.0,1.1304295123152376e-05,1117.4364423761433,0.008461473969920015,0.5781573775658477,0.20823960513945836,0.0,0.248
884898c93dfffff,Austin,0.0,0.0,3.478018527051464,36.818028311342815,0.0,4.996223636777167e-05,381.50810665064427,0.020330844389120528,0.3323071903879699,0.333846404806015,0.0,0.248
884898c941fffff,Austin,0.0,0.0,5.159852146852383,30.87052796478234,0.0,0.00011316141368780281,270.7202168590112,0.0,0.5891247455655714,0.2054376272172143,0.0,0.248
884898c943fffff,Austin,0.0,0.8172607691288376,0.06727127243475083,2.374646001902076,0.0,0.00029835679350679163,1117.4364423761433,0.008461473969920015,0.5781573775658477,0.20823960513945836,0.0,0.248
